state	power	likelihood
2600	0.418212	-89.8422
2700	0.418212	-92.5847
2800	0.418212	-92.5847
2900	0.418212	-92.5847
3000	0.418212	-92.5847
3100	0.418212	-92.5847
3200	0.418212	-92.5847
3300	0.418212	-92.5847
3400	0.418212	-92.5847
3500	0.418212	-92.5847
3600	0.418212	-92.5847
3700	0.418212	-92.5847
3800	0.418212	-85.2924
3900	0.418212	-92.5847
4000	0.418212	-92.5847
4100	0.418212	-92.5847
4200	0.418212	-92.5847
4300	0.418212	-92.5847
4400	0.418212	-92.5847
4500	0.418212	-92.5847
4600	0.418212	-92.5847
4700	0.418212	-92.5847
4800	0.418212	-92.5847
4900	0.418212	-92.5847
5000	0.418212	-92.5847
5100	0.418212	-92.5847
5200	0.418212	-85.2924
5300	0.418212	-92.7484
5400	0.418212	-92.5847
5500	0.418212	-92.5847
5600	0.418212	-92.5847
5700	0.418212	-79.6804
5800	0.418212	-80.8262
5900	0.418212	-92.5847
6000	0.418212	-92.5847
6100	0.418212	-92.5847
6200	0.418212	-92.5847
6300	0.418212	-92.5847
6400	0.418212	-92.5847
6500	0.418212	-92.5847
6600	0.418212	-92.5847
6700	0.418212	-79.6804
6800	0.418212	-76.4034
6900	0.418212	-76.4034
7000	0.418212	-76.4034
7100	0.418212	-76.4034
7200	0.418212	-76.4034
7300	0.418212	-80.4988
7400	0.418212	-92.5847
7500	0.418212	-90.6606
7600	0.418212	-92.5847
7700	0.418212	-92.5847
7800	0.418212	-92.5847
7900	0.418212	-92.5847
8000	0.418212	-80.4988
8100	0.418212	-92.5847
8200	0.418212	-92.5847
8300	0.418212	-79.6804
8400	0.418212	-92.5847
8500	0.418212	-92.5847
8600	0.418212	-92.5847
8700	0.418212	-85.2924
8800	0.418212	-92.5847
8900	0.418212	-92.5847
9000	0.418212	-92.5847
9100	0.418212	-92.5847
9200	0.418212	-92.5847
9300	0.418212	-73.0429
9400	0.418212	-73.0429
9500	0.418212	-73.0429
9600	0.418212	-73.0429
9700	0.418212	-92.5847
9800	0.418212	-92.5847
9900	0.418212	-92.5847
10000	0.418212	-85.2924
