state	power	likelihood
12600	1	-208.441
12700	1	-205.238
12800	1	-209.038
12900	1	-208.978
13000	1	-210.997
13100	1	-210.78
13200	1	-208.397
13300	1	-213.054
13400	1	-200.816
13500	1	-209.775
13600	1	-208.136
13700	1	-209.784
13800	1	-217.789
13900	1	-209.891
14000	1	-207.313
14100	1	-218.786
14200	1	-208.153
14300	1	-220.117
14400	1	-213.899
14500	1	-211.3
14600	1	-208.876
14700	1	-209.968
14800	1	-212.584
14900	1	-217.1
15000	1	-208.092
15100	1	-214.58
15200	1	-207.649
15300	1	-203.854
15400	1	-210.481
15500	1	-211.497
15600	1	-212.328
15700	1	-210.138
15800	1	-205.04
15900	1	-217.901
16000	1	-215.216
16100	1	-215.469
16200	1	-200.303
16300	1	-209.479
16400	1	-212.537
16500	1	-212.349
16600	1	-212.232
16700	1	-207.744
16800	1	-212.687
16900	1	-214.729
17000	1	-209.691
17100	1	-216.31
17200	1	-206.717
17300	1	-211.707
17400	1	-210.264
17500	1	-212.279
17600	1	-202.924
17700	1	-215.273
17800	1	-211.7
17900	1	-209.194
18000	1	-212.971
18100	1	-215.707
18200	1	-211.252
18300	1	-207.43
18400	1	-208.519
18500	1	-210.651
18600	1	-212.369
18700	1	-210.836
18800	1	-206.86
18900	1	-212.605
19000	1	-209.628
19100	1	-210.828
19200	1	-209.416
19300	1	-210.506
19400	1	-203.469
19500	1	-208.13
19600	1	-210.19
19700	1	-210.4
19800	1	-212.66
19900	1	-213.784
20000	1	-214.846
20100	1	-208.06
20200	1	-212.314
20300	1	-206.099
20400	1	-204.493
20500	1	-210.504
20600	1	-215.88
20700	1	-214.628
20800	1	-210.308
20900	1	-200.671
21000	1	-223.957
21100	1	-212.953
21200	1	-215.086
21300	1	-212.661
21400	1	-207.97
21500	1	-207.982
21600	1	-218.024
21700	1	-206.472
21800	1	-212.962
21900	1	-213.664
22000	1	-206.817
22100	1	-216.891
22200	1	-208.549
22300	1	-212.621
22400	1	-216.145
22500	1	-213.685
22600	1	-203.685
22700	1	-209.914
22800	1	-210.049
22900	1	-200.453
23000	1	-212.692
23100	1	-209.284
23200	1	-213.373
23300	1	-204.348
23400	1	-212.599
23500	1	-206.777
23600	1	-217.019
23700	1	-216.04
23800	1	-205.247
23900	1	-206.561
24000	1	-207.609
24100	1	-208.159
24200	1	-211.968
24300	1	-207.342
24400	1	-212.975
24500	1	-203.235
24600	1	-211.423
24700	1	-210.905
24800	1	-204.268
24900	1	-214.311
25000	1	-208.044
25100	1	-208.735
25200	1	-213.702
25300	1	-211.533
25400	1	-208.769
25500	1	-212.553
25600	1	-206.052
25700	1	-210.796
25800	1	-210.359
25900	1	-208.539
26000	1	-211.092
26100	1	-215.483
26200	1	-214.458
26300	1	-210.137
26400	1	-209.226
26500	1	-210.333
26600	1	-208.321
26700	1	-212.454
26800	1	-210.976
26900	1	-207.891
27000	1	-203.325
27100	1	-211.551
27200	1	-209.225
27300	1	-205.227
27400	1	-209.148
27500	1	-213.304
27600	1	-204.685
27700	1	-208.851
27800	1	-208.559
27900	1	-206.337
28000	1	-206.619
28100	1	-210.406
28200	1	-213.165
28300	1	-208.904
28400	1	-204.879
28500	1	-210.975
28600	1	-214.564
28700	1	-216.276
28800	1	-212.201
28900	1	-201.971
29000	1	-202.948
29100	1	-214.413
29200	1	-214.119
29300	1	-208.177
29400	1	-203.79
29500	1	-211.059
29600	1	-205.444
29700	1	-216.547
29800	1	-209.964
29900	1	-212.581
30000	1	-217.338
30100	1	-215.501
30200	1	-209.423
30300	1	-214.255
30400	1	-216.38
30500	1	-213.118
30600	1	-208.726
30700	1	-214.307
30800	1	-206.891
30900	1	-205.497
31000	1	-206.537
31100	1	-213.67
31200	1	-213.98
31300	1	-208.393
31400	1	-203.421
31500	1	-211.048
31600	1	-207.695
31700	1	-203.084
31800	1	-207.722
31900	1	-210.946
32000	1	-208.413
32100	1	-205.9
32200	1	-209.12
32300	1	-214.9
32400	1	-211.117
32500	1	-208.978
32600	1	-206.54
32700	1	-213.429
32800	1	-212.407
32900	1	-206.193
33000	1	-210.43
33100	1	-208.374
33200	1	-213.066
33300	1	-215.835
33400	1	-209.768
33500	1	-211.896
33600	1	-216.61
33700	1	-206.868
33800	1	-210.323
33900	1	-214.913
34000	1	-209.15
34100	1	-214.32
34200	1	-212.09
34300	1	-208.816
34400	1	-211.231
34500	1	-211.876
34600	1	-216.375
34700	1	-208.412
34800	1	-214.145
34900	1	-207.552
35000	1	-207.857
35100	1	-209.489
35200	1	-209.341
35300	1	-212.296
35400	1	-209.662
35500	1	-214.751
35600	1	-207.26
35700	1	-214.931
35800	1	-208.32
35900	1	-203.532
36000	1	-206.503
36100	1	-203.039
36200	1	-206.377
36300	1	-208.17
36400	1	-215.365
36500	1	-214.631
36600	1	-212.112
36700	1	-198.938
36800	1	-213.207
36900	1	-212.29
37000	1	-209.786
37100	1	-207.438
37200	1	-209.882
37300	1	-209.723
37400	1	-206.558
37500	1	-216.832
37600	1	-209.392
37700	1	-214.621
37800	1	-212.488
37900	1	-214.43
38000	1	-211.114
38100	1	-210.953
