state	power	likelihood
2600	1	-224.005
2700	1	-224.059
2800	1	-225.016
2900	1	-223.16
3000	1	-226.498
3100	1	-221.395
3200	1	-221.642
3300	1	-221.161
3400	1	-220.86
3500	1	-222.066
3600	1	-223.238
3700	1	-220.274
3800	1	-222.496
3900	1	-220.905
4000	1	-220.218
4100	1	-222.186
4200	1	-223.767
4300	1	-221.27
4400	1	-221.572
4500	1	-221.394
4600	1	-225.009
4700	1	-220.396
4800	1	-228.115
4900	1	-221.008
5000	1	-221.417
5100	1	-225.799
5200	1	-224.476
5300	1	-220.207
5400	1	-222.522
5500	1	-222.115
5600	1	-220.63
5700	1	-220.902
5800	1	-223.447
5900	1	-221.588
6000	1	-229.67
6100	1	-221.321
6200	1	-225.3
6300	1	-224.848
6400	1	-221.609
6500	1	-228.92
6600	1	-232.97
6700	1	-225.953
6800	1	-227.319
6900	1	-220.473
7000	1	-226.459
7100	1	-221.271
7200	1	-222.084
7300	1	-220.049
7400	1	-222.158
7500	1	-223.481
7600	1	-222.96
7700	1	-225.427
7800	1	-227.941
7900	1	-227.867
8000	1	-230.314
8100	1	-220.698
8200	1	-222.479
8300	1	-223.493
8400	1	-222.636
8500	1	-221.151
8600	1	-223.232
8700	1	-221.835
8800	1	-225.003
8900	1	-220.55
9000	1	-225.702
9100	1	-222.386
9200	1	-223.185
9300	1	-223.831
9400	1	-222.912
9500	1	-223.02
9600	1	-223.787
9700	1	-224.09
9800	1	-225.384
9900	1	-225.004
10000	1	-223.555
