state	power	likelihood
12600	1	-220.584
12700	1	-216.76
12800	1	-230.218
12900	1	-222.923
13000	1	-232.055
13100	1	-217.708
13200	1	-214.543
13300	1	-221.194
13400	1	-231.971
13500	1	-216.948
13600	1	-227.326
13700	1	-217.544
13800	1	-215.525
13900	1	-218.662
14000	1	-216.945
14100	1	-219.162
14200	1	-221.418
14300	1	-222.251
14400	1	-220.55
14500	1	-223.541
14600	1	-223.652
14700	1	-222.737
14800	1	-222.954
14900	1	-218.856
15000	1	-218.822
15100	1	-223.23
15200	1	-229.517
15300	1	-222.609
15400	1	-224.77
15500	1	-215.075
15600	1	-215.998
15700	1	-227.362
15800	1	-232.563
15900	1	-217.36
16000	1	-221.676
16100	1	-230.4
16200	1	-224.86
16300	1	-223.756
16400	1	-229.003
16500	1	-227.836
16600	1	-220.042
16700	1	-223.159
16800	1	-222.673
16900	1	-224.247
17000	1	-221.647
17100	1	-224.022
17200	1	-225.749
17300	1	-217.792
17400	1	-220.899
17500	1	-222.978
17600	1	-221.573
17700	1	-218.366
17800	1	-224.485
17900	1	-225.255
18000	1	-217.145
18100	1	-221.977
18200	1	-223.154
18300	1	-230.395
18400	1	-219.526
18500	1	-214.843
18600	1	-217.931
18700	1	-226.349
18800	1	-226.638
18900	1	-218.499
19000	1	-219.715
19100	1	-219.188
19200	1	-228.984
19300	1	-213.735
19400	1	-223.198
19500	1	-219.585
19600	1	-220.674
19700	1	-229.238
19800	1	-220.509
19900	1	-219.779
20000	1	-213.882
20100	1	-214.322
20200	1	-226.335
20300	1	-220.242
20400	1	-220.446
20500	1	-223.536
20600	1	-227.27
20700	1	-224.72
20800	1	-226.066
20900	1	-224.025
21000	1	-221.915
21100	1	-213.342
21200	1	-216.543
21300	1	-213.867
21400	1	-218.242
21500	1	-211.061
21600	1	-225.335
21700	1	-228.388
21800	1	-221.989
21900	1	-221.148
22000	1	-212.921
22100	1	-212.295
22200	1	-217.651
22300	1	-217.37
22400	1	-223.143
22500	1	-220.711
22600	1	-219.466
22700	1	-222.021
22800	1	-228.431
22900	1	-221.051
23000	1	-219.628
23100	1	-214.426
23200	1	-220.866
23300	1	-219.064
23400	1	-223.288
23500	1	-221.765
23600	1	-222.454
23700	1	-229.909
23800	1	-231.164
23900	1	-217.686
24000	1	-228.661
24100	1	-223.34
24200	1	-220.176
24300	1	-223.053
24400	1	-226.801
24500	1	-223.34
24600	1	-218.805
24700	1	-209.686
24800	1	-218.047
24900	1	-220.862
25000	1	-218.404
25100	1	-234.158
25200	1	-225.713
25300	1	-224.905
25400	1	-220.877
25500	1	-227.522
25600	1	-226.083
25700	1	-220.988
25800	1	-229.14
25900	1	-221.094
26000	1	-225.4
26100	1	-215.173
26200	1	-221.735
26300	1	-224.077
26400	1	-220.88
26500	1	-221.527
26600	1	-219.676
26700	1	-226.663
26800	1	-224.947
26900	1	-221.298
27000	1	-221.243
27100	1	-223.944
27200	1	-218.981
27300	1	-224.379
27400	1	-217.64
27500	1	-227.214
27600	1	-221.23
27700	1	-229.771
27800	1	-233.631
27900	1	-217.064
28000	1	-227.574
28100	1	-223.89
28200	1	-226.712
28300	1	-219.139
28400	1	-229.742
28500	1	-221.12
28600	1	-227.721
28700	1	-217.462
28800	1	-227.248
28900	1	-219.753
29000	1	-224.364
29100	1	-216.298
29200	1	-217.974
29300	1	-224.488
29400	1	-228.809
29500	1	-218.116
29600	1	-221.709
29700	1	-220.409
29800	1	-232.58
29900	1	-232.276
30000	1	-215.082
30100	1	-217.997
30200	1	-220.838
30300	1	-226.906
30400	1	-225.737
30500	1	-226.466
30600	1	-232.865
30700	1	-229.381
30800	1	-226.457
30900	1	-221.744
31000	1	-219.2
31100	1	-222.465
31200	1	-217.907
31300	1	-219.942
31400	1	-225.893
31500	1	-221.909
31600	1	-222.651
31700	1	-217.006
31800	1	-219.224
31900	1	-223.217
32000	1	-223.59
32100	1	-216.04
32200	1	-214.63
32300	1	-217.704
32400	1	-224.819
32500	1	-218.176
32600	1	-221.637
32700	1	-222.736
32800	1	-221.945
32900	1	-222.303
33000	1	-225.238
33100	1	-219.112
33200	1	-221.457
33300	1	-223.328
33400	1	-227.262
33500	1	-223.513
33600	1	-221.155
33700	1	-225.31
33800	1	-218.339
33900	1	-223.065
34000	1	-220.877
34100	1	-223.014
34200	1	-217.833
34300	1	-224.832
34400	1	-224.241
34500	1	-223.141
34600	1	-221.628
34700	1	-219.874
34800	1	-208.196
34900	1	-219.448
35000	1	-212.562
35100	1	-218.83
35200	1	-220.946
35300	1	-221.643
35400	1	-221.807
35500	1	-219.98
35600	1	-214.311
35700	1	-226.377
35800	1	-225.088
35900	1	-230.536
36000	1	-218.428
36100	1	-222.77
36200	1	-223.26
36300	1	-218.067
36400	1	-226.137
