state	power	likelihood
2600	1	-160.871
2700	1	-160.871
2800	1	-160.871
2900	1	-160.871
3000	1	-160.871
3100	1	-160.871
3200	1	-160.871
3300	1	-160.871
3400	1	-160.871
3500	1	-160.871
3600	1	-160.871
3700	1	-160.871
3800	1	-160.871
3900	1	-160.871
4000	1	-160.871
4100	1	-160.871
4200	1	-160.871
4300	1	-160.871
4400	1	-160.871
4500	1	-160.871
4600	1	-160.871
4700	1	-160.871
4800	1	-160.871
4900	1	-160.871
5000	1	-160.871
5100	1	-160.871
5200	1	-160.871
5300	1	-160.871
5400	1	-160.871
5500	1	-160.871
5600	1	-160.871
5700	1	-160.871
5800	1	-160.871
5900	1	-160.871
6000	1	-160.871
6100	1	-160.871
6200	1	-160.871
6300	1	-160.871
6400	1	-160.871
6500	1	-160.871
6600	1	-160.871
6700	1	-160.871
6800	1	-160.871
6900	1	-160.871
7000	1	-160.871
7100	1	-160.871
7200	1	-160.871
7300	1	-160.871
7400	1	-160.871
7500	1	-160.871
7600	1	-160.871
7700	1	-160.871
7800	1	-160.871
7900	1	-160.871
8000	1	-160.871
8100	1	-160.871
8200	1	-160.871
8300	1	-160.871
8400	1	-160.871
8500	1	-160.871
8600	1	-160.871
8700	1	-160.871
8800	1	-160.871
8900	1	-160.871
9000	1	-160.871
9100	1	-160.871
9200	1	-160.871
9300	1	-160.871
9400	1	-160.871
9500	1	-160.871
9600	1	-160.871
9700	1	-160.871
9800	1	-160.871
9900	1	-160.871
10000	1	-160.871
