state	power	likelihood
2600	0.470427	-92.5847
2700	0.470427	-92.5847
2800	0.470427	-85.2924
2900	0.470427	-92.5847
3000	0.470427	-92.5847
3100	0.470427	-92.5847
3200	0.470427	-92.5847
3300	0.470427	-92.5847
3400	0.470427	-85.2924
3500	0.470427	-92.5847
3600	0.470427	-92.5847
3700	0.470427	-92.5847
3800	0.470427	-79.1894
3900	0.470427	-80.9898
4000	0.470427	-80.9898
4100	0.470427	-92.5847
4200	0.470427	-92.5847
4300	0.470427	-92.5847
4400	0.470427	-92.5847
4500	0.470427	-92.5847
4600	0.470427	-92.5847
4700	0.470427	-92.5847
4800	0.470427	-85.2924
4900	0.470427	-92.5847
5000	0.470427	-92.5847
5100	0.470427	-92.5847
5200	0.470427	-92.5847
5300	0.470427	-79.6804
5400	0.470427	-76.4034
5500	0.470427	-92.5847
5600	0.470427	-92.5847
5700	0.470427	-92.5847
5800	0.470427	-92.5847
5900	0.470427	-92.5847
6000	0.470427	-92.5847
6100	0.470427	-92.5847
6200	0.470427	-92.5847
6300	0.470427	-92.5847
6400	0.470427	-92.5847
6500	0.470427	-92.5847
6600	0.470427	-92.5847
6700	0.470427	-73.2065
6800	0.470427	-73.2065
6900	0.470427	-73.2065
7000	0.470427	-73.2065
7100	0.470427	-73.2065
7200	0.470427	-73.2065
7300	0.470427	-73.2065
7400	0.470427	-73.2065
7500	0.470427	-73.2065
7600	0.470427	-73.2065
7700	0.470427	-73.2065
7800	0.470427	-73.2065
7900	0.470427	-92.5847
8000	0.470427	-92.5847
8100	0.470427	-92.5847
8200	0.470427	-92.5847
8300	0.470427	-80.4988
8400	0.470427	-92.5847
8500	0.470427	-92.5847
8600	0.470427	-79.6804
8700	0.470427	-80.4988
8800	0.470427	-92.5847
8900	0.470427	-92.5847
9000	0.470427	-92.5847
9100	0.470427	-92.5847
9200	0.470427	-92.5847
9300	0.470427	-92.5847
9400	0.470427	-80.4988
9500	0.470427	-92.5847
9600	0.470427	-92.5847
9700	0.470427	-92.5847
9800	0.470427	-92.5847
9900	0.470427	-79.6804
10000	0.470427	-92.5847
